Unnamed: 0,id,url,type,subtype,bedroomCount,bathroomCount,province,locality,postCode,habitableSurface,buildingCondition,buildingConstructionYear,facedeCount,floodZoneType,heatingType,kitchenType,hasLivingRoom,toiletCount,hasTerrace,epcScore,price
9227,20626498.0,https://www.immoweb.be/en/classified/house/for-sale/mechelen/2811/20626498,HOUSE,HOUSE,3.0,1.0,Antwerp,Mechelen,2811,220.0,TO_BE_DONE_UP,1972.0,3.0,NON_FLOOD_ZONE,GAS,INSTALLED,True,1.0,True,D,475000.0
9232,20576247.0,https://www.immoweb.be/en/classified/apartment/for-sale/sint-lambrechts-woluwe/1200/20576247,APARTMENT,APARTMENT,2.0,1.0,Brussels,Sint-Lambrechts-Woluwe,1200,87.0,AS_NEW,2016.0,2.0,NON_FLOOD_ZONE,GAS,HYPER_EQUIPPED,True,1.0,True,C,380000.0
9234,20662132.0,https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/20662132,APARTMENT,APARTMENT,3.0,2.0,East Flanders,Deinze,9800,218.0,AS_NEW,2002.0,2.0,NON_FLOOD_ZONE,GAS,HYPER_EQUIPPED,True,3.0,True,A,885000.0
9268,20606137.0,https://www.immoweb.be/en/classified/house/for-sale/erpe/9420/20606137,HOUSE,HOUSE,3.0,1.0,East Flanders,Erpe,9420,180.0,TO_BE_DONE_UP,1976.0,3.0,NON_FLOOD_ZONE,GAS,HYPER_EQUIPPED,True,2.0,True,C,395000.0
9283,20654222.0,https://www.immoweb.be/en/classified/house/for-sale/sambreville/5060/20654222,HOUSE,HOUSE,3.0,1.0,Namur,Sambreville,5060,215.0,GOOD,1928.0,3.0,NON_FLOOD_ZONE,FUELOIL,INSTALLED,True,1.0,True,E,350000.0
9286,20653446.0,https://www.immoweb.be/en/classified/house/for-sale/berendrecht/2040/20653446,HOUSE,HOUSE,3.0,1.0,Antwerp,Berendrecht,2040,202.0,AS_NEW,2016.0,2.0,NON_FLOOD_ZONE,GAS,INSTALLED,True,2.0,True,B,439000.0
9331,20647732.0,https://www.immoweb.be/en/classified/house/for-sale/herentals/2200/20647732,HOUSE,HOUSE,4.0,1.0,Antwerp,Herentals,2200,190.0,AS_NEW,1968.0,3.0,NON_FLOOD_ZONE,GAS,HYPER_EQUIPPED,True,2.0,True,C,499000.0
9334,20622330.0,https://www.immoweb.be/en/classified/house/for-sale/liege/4000/20622330,HOUSE,HOUSE,1.0,1.0,Liège,Liège,4000,94.0,TO_BE_DONE_UP,1918.0,2.0,NON_FLOOD_ZONE,GAS,INSTALLED,True,2.0,True,F,125000.0
9335,20597293.0,https://www.immoweb.be/en/classified/house/for-sale/brakel/9660/20597293,HOUSE,HOUSE,2.0,1.0,East Flanders,Brakel,9660,150.0,TO_RENOVATE,1950.0,3.0,NON_FLOOD_ZONE,PELLET,SEMI_EQUIPPED,True,1.0,True,F,160000.0
9336,20580265.0,https://www.immoweb.be/en/classified/house/for-sale/bastogne/6600/20580265,HOUSE,HOUSE,4.0,1.0,Luxembourg,Bastogne,6600,115.0,AS_NEW,1950.0,2.0,NON_FLOOD_ZONE,FUELOIL,HYPER_EQUIPPED,True,1.0,True,D,229000.0
